id_evento,evento annullato?,programma ufficiale,titolo_evento,id_luogo,nome_luogo,comune,provicia,indirizzo,latitudine,longitudine,luogo_unique_name
4145,NO,SI,Martina Muzi nel giardino di Potenza,82,Boschetto Orizzontale,Potenza,Potenza,Via Angilla Vecchia 12,40.64508,15.80157,Boschetto Orizzontale (Potenza)
4610,NO,SI,Martina Muzi nel giardino di Potenza,82,Boschetto Orizzontale,Potenza,Potenza,Via Angilla Vecchia 12,40.64508,15.80157,Boschetto Orizzontale (Potenza)
3108,NO,SI,Martina Muzi nel giardino di Sasso di Castalda,261,Giardino Di Comunità,Sasso Di Castalda,Potenza,Via Degli Orti,40.48971,15.67913,Giardino Di Comunità (Sasso Di Castalda)
3592,NO,SI,Martina Muzi nel giardino di Sasso di Castalda,261,Giardino Di Comunità,Sasso Di Castalda,Potenza,Via Degli Orti,40.48971,15.67913,Giardino Di Comunità (Sasso Di Castalda)
3912,NO,SI,Martina Muzi nel giardino di Sasso di Castalda,261,Giardino Di Comunità,Sasso Di Castalda,Potenza,Via Degli Orti,40.48971,15.67913,Giardino Di Comunità (Sasso Di Castalda)
4651,NO,SI,Maschito Capitale per un giorno,367,Municipio,Maschito,Potenza,Via Luigi Cariati,40.907310,15.829880,Municipio (Maschito)
4171,NO,NO,Massimo De Gennaro | La danza degli ulivi,236,Galleria Arti Visive,Matera,Matera,Via Beccherie 41,40.665847,16.607956,Galleria Arti Visive (Matera)
1745,NO,SI,Mat-Air 2019 / 1,203,Complesso Del Casale,Matera,Matera,Via Casale 63,40.668838,16.610581,Complesso Del Casale (Matera)
2499,NO,SI,Mat-Air 2019 / 1,203,Complesso Del Casale,Matera,Matera,Via Casale 63,40.668838,16.610581,Complesso Del Casale (Matera)
4573,NO,SI,Mat-Air 2019 / 2,275,Hotel Le Monacelle,Matera,Matera,Via Riscatto 15,40.667523,16.611559,Hotel Le Monacelle (Matera)
4573,NO,SI,Mat-Air 2019 / 2,203,Complesso Del Casale,Matera,Matera,Via Casale 63,40.668838,16.610581,Complesso Del Casale (Matera)
1746,NO,SI,Mat-Air 2019 / 2,203,Complesso Del Casale,Matera,Matera,Via Casale 63,40.668838,16.610581,Complesso Del Casale (Matera)
3074,NO,SI,MaTà,142,Cava Del Sole,Matera,Matera,Strada Statale 7 Via Appia 32,40.681151,16.598275,Cava Del Sole (Matera)
4029,NO,SI,MaTà - laboratori di pizzica,512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
4028,NO,SI,MaTà - laboratori di pizzica,491,Piazza Del Sedile,Matera,Matera,Piazza Del Sedile,40.665573,16.609790,Piazza Del Sedile (Matera)
4030,NO,SI,MaTà - laboratori di pizzica,491,Piazza Del Sedile,Matera,Matera,Piazza Del Sedile,40.665573,16.609790,Piazza Del Sedile (Matera)
4029,NO,SI,MaTà - laboratori di pizzica,523,Piazza Vittorio Veneto,Matera,Matera,Piazza Vittorio Veneto,40.666916,16.606227,Piazza Vittorio Veneto (Matera)
4030,NO,SI,MaTà - laboratori di pizzica,523,Piazza Vittorio Veneto,Matera,Matera,Piazza Vittorio Veneto,40.666916,16.606227,Piazza Vittorio Veneto (Matera)
4028,NO,SI,MaTà - laboratori di pizzica,514,Piazza San Giovanni,Matera,Matera,Piazza San Giovanni,40.6676,16.60803,Piazza San Giovanni (Matera)
2763,NO,SI,Mater Aquae Pater Lignum,377,Municipio,Paterno Di Lucania,Potenza,Via Giustino Fortunato 19,40.377351,15.732562,Municipio (Paterno Di Lucania)
2047,NO,SI,Mater(i)a P(i)etra,456,Palazzo Lanfranchi,Matera,Matera,Piazza Giovanni Pascoli 1,40.663230,16.610342,Palazzo Lanfranchi (Matera)
2111,NO,NO,Matera 626/627 2 Luglio,448,Palazzo Arcivescovile,Matera,Matera,Piazza Duomo 7,40.666635,16.611435,Palazzo Arcivescovile (Matera)
1897,NO,SI,Matera Alberga - Arte Accogliente,272,Hotel Corte San Pietro,Matera,Matera,Via Bruno Buozzi 97,40.663959,16.611157,Hotel Corte San Pietro (Matera)
1977,NO,NO,Matera Alberga - Arte Accogliente,274,Hotel Le Dimore Dell'idris,Matera,Matera,Via Madonna Dell'idris 16,40.664073,16.611633,Hotel Le Dimore Dell'idris (Matera)
1901,NO,SI,Matera Alberga - Arte Accogliente,274,Hotel Le Dimore Dell'idris,Matera,Matera,Via Madonna Dell'idris 16,40.664073,16.611633,Hotel Le Dimore Dell'idris (Matera)
2388,NO,SI,Matera Alberga - Arte Accogliente,271,Hotel Casa Diva,Matera,Matera,Vico Giumella 3,40.664488,16.609469,Hotel Casa Diva (Matera)
1974,NO,NO,Matera Alberga - Arte Accogliente,276,Hotel Locanda Di San Martino,Matera,Matera,Via Fiorentini 71,40.666704,16.608269,Hotel Locanda Di San Martino (Matera)
1905,NO,SI,Matera Alberga - Arte Accogliente,276,Hotel Locanda Di San Martino,Matera,Matera,Via Fiorentini 71,40.666704,16.608269,Hotel Locanda Di San Martino (Matera)
2389,NO,SI,Matera Alberga - Arte Accogliente,280,Hotel Sextantio Le Grotte Della Civita,Matera,Matera,Via Civita 28,40.6677,16.6118,Hotel Sextantio Le Grotte Della Civita (Matera)
1909,NO,SI,Matera Alberga - Arte Accogliente,273,Hotel Del Campo,Matera,Matera,Via Lucrezio 1,40.681042,16.583872,Hotel Del Campo (Matera)
